folder_name,model_number,protein_1,protein_2,LIS,LIA,LIR,cLIS,cLIA,cLIR,iptm
fold_mmecp2_mtbl1r,0,1,1,0.5764151906813467,10445,968,0.7849425287356321,2784,968,0.21
fold_mmecp2_mtbl1r,0,1,2,0.17114831976036693,1816,195,0.22673913043478255,18,19,0.29
fold_mmecp2_mtbl1r,0,2,2,0.734188376264807,140107,1028,0.8943364555456437,5605,1028,0.7
fold_mmecp2_mtbl1r,1,1,1,0.5606621503496504,10296,968,0.7907547688921496,2726,968,0.21
fold_mmecp2_mtbl1r,1,1,2,0.17136704674778216,1702,193,0.21413611111111105,18,18,0.29
fold_mmecp2_mtbl1r,1,2,2,0.731412178984877,139103,1028,0.8945209750566894,5586,1028,0.69
fold_mmecp2_mtbl1r,2,1,1,0.5799024123848419,10529,968,0.7972649651120087,2723,968,0.21
fold_mmecp2_mtbl1r,2,1,2,0.17684956855225312,1897,193,0.19941116898148148,25,23,0.27
fold_mmecp2_mtbl1r,2,2,2,0.7361238795994606,139645,1028,0.8962344794651386,5584,1028,0.69
fold_mmecp2_mtbl1r,3,1,1,0.5816347092345959,10587,968,0.796991028927133,2731,968,0.21
fold_mmecp2_mtbl1r,3,1,2,0.12603373452264582,1379,189,0.1469507575757576,16,20,0.24
fold_mmecp2_mtbl1r,3,2,2,0.7340178851284258,139315,1028,0.893567680381634,5590,1028,0.69
fold_mmecp2_mtbl1r,4,1,1,0.5755517213642214,10360,968,0.7904031572556163,2745,968,0.21
fold_mmecp2_mtbl1r,4,1,2,0.09968289320549767,1394,183,0.11476190476190476,16,16,0.21
fold_mmecp2_mtbl1r,4,2,2,0.7309260576554164,139877,1028,0.892951327171466,5626,1028,0.69
fold_mmecp2_mtbl1r,average,1,1,0.5748332368029313,10443,968,0.7920712897845078,2741,968,0.21000000000000002
fold_mmecp2_mtbl1r,average,1,2,0.14901631255770914,1638,190,0.1803998145730075,18,19,0.25999999999999995
fold_mmecp2_mtbl1r,average,2,2,0.7333336755265973,139609,1028,0.8943221835241143,5598,1028,0.692
